lot,priority_score,path,route,title,kind,section,words,course_role,course_action,modules,audience_routes,narrative_status,narrative_signals,didactic_status,didactic_signals,consistency_band,review_flags,orientation_relations,explicit_orientation_reference,explicit_guide_reference,visual_status,visual_decision,visual_family,featured,svg_assets,accessible_svg,inline_images,missing_alt,current_h5p,interaction_candidate,interaction_technology,internal_links,cross_section_links,organization_needs
L1-nucleo-riesgos-y-solapamientos,15,formacion-docente/aprendizaje-activo/index.md,/formacion-docente/aprendizaje-activo/,Aprendizaje activo: estrategias y técnicas,page,formacion-docente,932,nucleo-candidato,reescribir-antes-de-enlazar,M5,profesorado,debil,0,parcial,4,revision-prioritaria,correspondencia-samr-bloom-por-revisar,aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|diseno-activo-hibrido|decision-institucional-y-tecnologia,false,false,visual-explicativo-candidato,revisar-para-sustitucion-prioritaria,cgi-infografia-o-ilustracion-heredada,true,0,0,1,0,,escenario-de-decision-con-consecuencias,H5P.BranchingScenario o alternativa HTML accesible,0,0,crear-enlaces-de-continuidad|conectar-entre-secciones|vincular-orientaciones|vincular-guia-por-audiencia
L1-nucleo-riesgos-y-solapamientos,14,ia-educacion/integracion-curricular/ia-aprendizaje-hibrido/index.md,/ia-educacion/integracion-curricular/ia-aprendizaje-hibrido/,IA en el aprendizaje híbrido y activo,page,ia-educacion,785,referencia-en-cuarentena,reescribir-antes-de-enlazar,M5,profesorado,debil,1,robusto-candidato,8,revision-prioritaria,correspondencia-samr-bloom-por-revisar|interactividad-con-chat-por-justificar|deteccion-de-ia-requiere-mediacion,agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|diseno-activo-hibrido|decision-institucional-y-tecnologia,false,false,solo-imagen-de-portada,revisar-para-sustitucion-prioritaria,cgi-infografia-o-ilustracion-heredada,true,0,0,0,0,,escenario-de-decision-con-consecuencias,H5P.BranchingScenario o alternativa HTML accesible,0,0,crear-enlaces-de-continuidad|vincular-orientaciones|vincular-guia-por-audiencia
L1-nucleo-riesgos-y-solapamientos,14,recursos/glosario/taxonomia-de-bloom/index.md,/recursos/glosario/taxonomia-de-bloom/,Taxonomía de Bloom,page,recursos,254,referencia-en-cuarentena,fusionar-o-desduplicar,M5,profesorado,debil,0,parcial,4,revision-prioritaria,bloom-como-jerarquia-o-secuencia,agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|diseno-activo-hibrido,false,false,visual-explicativo-candidato,sustituir-por-sistema-de-iconos-o-retirar,neon-tecnologico-generico,true,0,0,0,0,,sin-interaccion-obligatoria,Ninguna,2,1,agregar-description|vincular-orientaciones|vincular-guia-por-audiencia
L1-nucleo-riesgos-y-solapamientos,13,formacion-docente/alfabetizacion-co-creacion/index.md,/formacion-docente/alfabetizacion-co-creacion/,Principios de la alfabetización para la co-creación con inteligencia artificial,page,formacion-docente,761,apoyo-candidato,fusionar-o-desduplicar,M3,comun,debil,0,parcial,4,revision-prioritaria,deteccion-de-ia-requiere-mediacion,verificacion-y-fuentes|agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados,false,false,solo-imagen-de-portada,reencuadrar-o-sustituir-tras-lectura,ilustracion-mixta,true,0,0,0,0,direccion-epistemica-hotspots,auditar-y-mediar-h5p-existente,H5P ya gobernado,4,1,vincular-orientaciones|vincular-guia-por-audiencia
L1-nucleo-riesgos-y-solapamientos,13,formacion-docente/aprendizaje-hibrido/index.md,/formacion-docente/aprendizaje-hibrido/,Aprendizaje híbrido (blended learning),page,formacion-docente,828,nucleo-candidato,reescribir-antes-de-enlazar,M5,profesorado,debil,0,parcial,5,revision-prioritaria,,aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|diseno-activo-hibrido|decision-institucional-y-tecnologia,false,false,visual-explicativo-candidato,revisar-para-sustitucion-prioritaria,cgi-infografia-o-ilustracion-heredada,true,0,0,1,0,,comparador-de-versiones,H5P.ImageSlider o comparador HTML,0,0,crear-enlaces-de-continuidad|conectar-entre-secciones|vincular-orientaciones|vincular-guia-por-audiencia
L1-nucleo-riesgos-y-solapamientos,13,formacion-docente/modelos-samr-icap/index.md,/formacion-docente/modelos-samr-icap/,Modelos SAMR e ICAP para la integración tecnológica,page,formacion-docente,947,nucleo-candidato,reescribir-antes-de-enlazar,M5,profesorado,parcial,2,parcial,3,revision-prioritaria,correspondencia-samr-bloom-por-revisar,aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|diseno-activo-hibrido|decision-institucional-y-tecnologia,false,false,visual-explicativo-candidato,revisar-para-sustitucion-prioritaria,cgi-infografia-o-ilustracion-heredada,true,0,0,2,0,,comparador-de-versiones,H5P.ImageSlider o comparador HTML,0,0,crear-enlaces-de-continuidad|conectar-entre-secciones|vincular-orientaciones|vincular-guia-por-audiencia
L1-nucleo-riesgos-y-solapamientos,12,formacion-docente/taxonomia-bloom-diseno-inverso/index.md,/formacion-docente/taxonomia-bloom-diseno-inverso/,Taxonomía de Bloom y diseño inverso de aprendizajes,page,formacion-docente,949,nucleo-candidato,reescribir-antes-de-enlazar,M5,profesorado,parcial,2,parcial,6,revision-prioritaria,correspondencia-samr-bloom-por-revisar,verificacion-y-fuentes|agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|diseno-activo-hibrido|decision-institucional-y-tecnologia,false,false,visual-explicativo-candidato,revisar-para-sustitucion-prioritaria,cgi-infografia-o-ilustracion-heredada,true,0,0,2,0,objetivos-bloom-udgplus,auditar-y-mediar-h5p-existente,H5P ya gobernado,0,0,crear-enlaces-de-continuidad|conectar-entre-secciones|vincular-orientaciones|vincular-guia-por-audiencia
L1-nucleo-riesgos-y-solapamientos,10,formacion-docente/alfabetizacion-agenciamiento-ia/index.md,/formacion-docente/alfabetizacion-agenciamiento-ia/,Alfabetización en co-creación: aprender a co-producir con IA,page,formacion-docente,1998,apoyo-candidato,fusionar-o-desduplicar,M3,comun,parcial,3,parcial,5,revision-prioritaria,deteccion-de-ia-requiere-mediacion,verificacion-y-fuentes|agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|diseno-activo-hibrido|decision-institucional-y-tecnologia,false,false,visual-explicativo-candidato,reencuadrar-o-sustituir-tras-lectura,ilustracion-mixta,true,0,0,0,0,cocreacion-evaluacion-recorrido,auditar-y-mediar-h5p-existente,H5P ya gobernado,11,7,vincular-orientaciones|vincular-guia-por-audiencia
L1-nucleo-riesgos-y-solapamientos,10,formacion-docente/pensamiento-critico-ia-generativa/index.md,/formacion-docente/pensamiento-critico-ia-generativa/,Pensamiento crítico ante la IA generativa,page,formacion-docente,993,nucleo-candidato,reutilizar-con-ajustes,M1,comun,debil,0,parcial,4,sin-alerta-automatica,,verificacion-y-fuentes|agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados,false,false,solo-imagen-de-portada,reencuadrar-o-sustituir-tras-lectura,ilustracion-mixta,true,0,0,0,0,,escenario-de-decision-con-consecuencias,H5P.BranchingScenario o alternativa HTML accesible,5,5,vincular-orientaciones|vincular-guia-por-audiencia
L1-nucleo-riesgos-y-solapamientos,10,ia-educacion/etica-y-transparencia/alfabetizacion-critica-ia/index.md,/ia-educacion/etica-y-transparencia/alfabetizacion-critica-ia/,Principios de la alfabetización crítica en inteligencia artificial,page,ia-educacion,666,nucleo-candidato,reutilizar-con-ajustes,M2,comun,debil,0,parcial,4,sin-alerta-automatica,,verificacion-y-fuentes|agenciamiento-y-cocreacion|aprendizaje-y-evaluacion-del-proceso|etica-contexto-y-cuidados|decision-institucional-y-tecnologia,false,false,solo-imagen-de-portada,revisar-para-sustitucion-prioritaria,cgi-infografia-o-ilustracion-heredada,true,0,0,0,0,,escenario-de-decision-con-consecuencias,H5P.BranchingScenario o alternativa HTML accesible,3,3,vincular-orientaciones|vincular-guia-por-audiencia
