path,route,kind,section,title,date,words,heading_count,external_url_count,citation_signals,reference_heading,internal_link_count,broken_internal_links,featured,local_asset_count,inline_image_count,svg_count,table_count,mermaid_count,chart_count,h5p_count,iframe_count,decision,needs,tags,categories,areas
_index.md,/,section,_index.md,Aprendizaje digital e IA,,97,1,0,0,false,5,,false,1,0,0,0,1,0,0,0,actualizar,,,,
about.md,/about/,page,about.md,Acerca del proyecto,2026-04-26,405,5,0,0,false,7,,false,1,0,0,0,0,0,0,0,actualizar,featured,,,
blog/_index.md,/blog/,section,blog,Blog,2026-04-26,157,2,0,0,false,0,,false,0,0,0,0,0,0,0,0,actualizar,,,,ia|pedagogia|digital
blog/agenciamiento-humano-ia/index.md,/blog/agenciamiento-humano-ia/,page,blog,El agenciamiento persona-IA: ni herramienta ni reemplazo,2026-04-26,891,7,1,0,true,3,,true,1,0,0,0,0,0,0,0,conservar,svg-diagrama|tabla-sintesis,agenciamiento|Deleuze|filosofía de la técnica|co-producción,opinion,ia|pedagogia
blog/aprender-con-ia-vs-aprender-sobre-ia/index.md,/blog/aprender-con-ia-vs-aprender-sobre-ia/,page,blog,Aprender con IA vs aprender sobre IA,2026-04-26,781,6,2,0,true,4,,true,1,0,0,0,0,0,0,0,conservar,svg-diagrama|tabla-sintesis,alfabetización IA|currículo|competencias|diseño didáctico,opinion,ia|pedagogia|formacion
blog/experiencias-docentes-ia-aula/index.md,/blog/experiencias-docentes-ia-aula/,page,blog,Experiencias de docentes con IA en el aula: lo que se repite,2026-04-26,920,8,2,1,true,5,,true,1,0,0,0,0,0,0,0,conservar,svg-diagrama|tabla-sintesis|interaccion-candidata,experiencia docente|integración aula|patrones|primera implementación,opinion,pedagogia|ia|formacion
blog/ia-generativa-evaluacion-autentica/index.md,/blog/ia-generativa-evaluacion-autentica/,page,blog,IA generativa y evaluación auténtica,2026-04-26,856,7,3,2,true,3,,true,1,0,0,0,0,0,0,0,conservar,svg-diagrama|tabla-sintesis,evaluación auténtica|evaluación formativa|IA generativa|rediseño evaluativo,opinion,evaluacion|ia|pedagogia
blog/rizoma-digital-aprender-sin-mapa/index.md,/blog/rizoma-digital-aprender-sin-mapa/,page,blog,El rizoma digital: aprender sin mapa,2026-04-26,943,7,0,0,true,3,,true,1,0,0,0,0,0,0,0,conservar,svg-diagrama|tabla-sintesis|interaccion-candidata,rizoma|Deleuze|Cormier|aprendizaje no lineal|currículo,opinion,pedagogia|ia|digital
blog/rol-docente-era-ia/index.md,/blog/rol-docente-era-ia/,page,blog,El rol del docente en la era de la IA,2026-04-26,830,6,3,2,true,3,,true,1,0,0,0,0,0,0,0,conservar,svg-diagrama|tabla-sintesis,rol docente|transformación pedagógica|agenciamiento|futuro de la docencia,opinion,ia|pedagogia|formacion
formacion-docente/_index.md,/formacion-docente/,section,formacion-docente,Formación docente,,55,0,0,0,false,10,,true,1,0,0,0,0,0,0,0,actualizar,,,,digital|formacion
formacion-docente/alfabetizacion/index.md,/formacion-docente/alfabetizacion/,page,formacion-docente,Alfabetización digital,2026-03-17,1151,6,5,2,true,14,,true,1,0,0,1,1,0,0,0,conservar,interaccion-candidata,alfabetizacion|literacidad|co-creación|pensamiento-critico,marco-conceptual,digital|ia
formacion-docente/alfabetizacion-agenciamiento-ia/index.md,/formacion-docente/alfabetizacion-agenciamiento-ia/,page,formacion-docente,Alfabetización en co-creación: aprender a co-producir con IA,2026-04-26,1998,11,3,1,true,11,,true,1,0,0,1,1,0,1,0,conservar,fallback-verificar,co-creación|alfabetización|co-producción|competencia digital|Deleuze,guia,digital|ia|formacion
formacion-docente/alfabetizacion-co-creacion/index.md,/formacion-docente/alfabetizacion-co-creacion/,page,formacion-docente,Principios de la alfabetización para la co-creación con inteligencia artificial,2026-05-28,761,4,2,6,true,4,,true,1,0,0,0,0,0,1,0,conservar,svg-diagrama|tabla-sintesis|fallback-verificar,alfabetizacion-ia|co-creación|agenciamiento|ensamblaje|literacidad|dirección-epistémica,marco-conceptual,ia|pedagogia|formacion
formacion-docente/alfabetizacion-operativa/index.md,/formacion-docente/alfabetizacion-operativa/,page,formacion-docente,Principios de la alfabetización operativa en inteligencia artificial,2026-05-28,503,2,2,0,true,5,,true,1,0,0,0,0,0,0,0,actualizar,svg-diagrama,alfabetizacion-ia|operativa|prompting|literacidad|competencia-digital,marco-conceptual,ia|pedagogia|formacion
formacion-docente/aprendizaje-activo/index.md,/formacion-docente/aprendizaje-activo/,page,formacion-docente,Aprendizaje activo: estrategias y técnicas,2026-04-06,932,7,2,5,true,0,,true,1,1,0,0,0,0,0,0,conservar,svg-diagrama|tabla-sintesis|interaccion-candidata,aprendizaje-activo|active-learning|tecnicas-didacticas|pensamiento-critico|colaboracion,metodologia-pedagogica,pedagogia|formacion
formacion-docente/aprendizaje-hibrido/index.md,/formacion-docente/aprendizaje-hibrido/,page,formacion-docente,Aprendizaje híbrido (blended learning),2026-04-06,828,6,0,5,true,0,,true,1,1,0,0,0,0,0,0,conservar,svg-diagrama|tabla-sintesis,blended-learning|aprendizaje-hibrido|modalidades|educacion-en-linea|presencialidad,metodologia-pedagogica,pedagogia|digital
formacion-docente/competencias-digitales-ia-estudiantes/index.md,/formacion-docente/competencias-digitales-ia-estudiantes/,page,formacion-docente,Competencias digitales con IA para estudiantes,2026-04-26,929,15,3,3,true,9,,true,1,0,0,1,0,0,0,0,conservar,svg-diagrama|interaccion-candidata,competencias digitales|DigComp|UNESCO|estudiantes|alfabetización,guia,digital|ia|formacion
formacion-docente/evaluacion-retroalimentacion/index.md,/formacion-docente/evaluacion-retroalimentacion/,page,formacion-docente,Evaluación y retroalimentación en el aprendizaje activo,2026-04-06,728,10,0,2,true,0,,true,1,0,0,0,0,0,0,0,conservar,svg-diagrama|tabla-sintesis,evaluacion|retroalimentacion|evaluacion-formativa|evaluacion-sumativa|cat|classroom-assessment-techniques,metodologia-pedagogica,evaluacion|pedagogia
formacion-docente/formacion-continua/index.md,/formacion-docente/formacion-continua/,page,formacion-docente,Formación continua,2026-03-17,359,4,0,0,false,3,,true,1,0,0,0,0,0,0,0,actualizar,,,,formacion|digital
formacion-docente/mapa-literacidades-ia/index.md,/formacion-docente/mapa-literacidades-ia/,page,formacion-docente,Las tres literacidades en IA — mapa visual,2026-05-28,811,7,5,0,true,7,,true,1,0,0,1,3,0,0,0,conservar,,alfabetizacion-ia|literacidad|marco-conceptual|mapa-visual|tres-literacidades,marco-conceptual,digital|ia|formacion
formacion-docente/modelos-samr-icap/index.md,/formacion-docente/modelos-samr-icap/,page,formacion-docente,Modelos SAMR e ICAP para la integración tecnológica,2026-04-06,947,6,0,5,true,0,,true,1,2,0,0,0,0,0,0,conservar,svg-diagrama|tabla-sintesis|interaccion-candidata,samr|icap|tecnologia-educativa|integracion-tecnologica|engagement,metodologia-pedagogica,digital|pedagogia
formacion-docente/pensamiento-critico-ia-generativa/index.md,/formacion-docente/pensamiento-critico-ia-generativa/,page,formacion-docente,Pensamiento crítico ante la IA generativa,2026-04-26,993,11,5,1,true,5,,true,1,0,0,0,0,0,0,0,conservar,svg-diagrama|tabla-sintesis|interaccion-candidata,pensamiento crítico|IA generativa|alfabetización|diseño didáctico|evaluación,guia,pedagogia|ia|formacion
formacion-docente/redes/index.md,/formacion-docente/redes/,page,formacion-docente,Redes y comunidades,2026-03-17,378,4,0,1,false,2,,true,1,0,0,0,0,0,0,0,actualizar,procedencia,,,formacion|digital
formacion-docente/syllabus-portafolio/index.md,/formacion-docente/syllabus-portafolio/,page,formacion-docente,El syllabus y el portafolio de docencia,2026-04-06,897,10,0,5,true,0,,true,1,1,0,0,0,0,0,0,conservar,svg-diagrama|tabla-sintesis,syllabus|portafolio|planeacion-didactica|perfil-docente|diseno-curricular,metodologia-pedagogica,formacion|pedagogia
formacion-docente/taller-diseno-actividades-ia-backward/index.md,/formacion-docente/taller-diseno-actividades-ia-backward/,page,formacion-docente,Taller: Diseño de actividades con IA (backward design),2026-04-26,1268,20,2,1,true,8,,true,1,0,0,4,0,0,0,0,conservar,svg-diagrama|interaccion-candidata,taller|backward design|diseño didáctico|formación docente|rúbricas,guia,formacion|ia|pedagogia
formacion-docente/taxonomia-bloom-diseno-inverso/index.md,/formacion-docente/taxonomia-bloom-diseno-inverso/,page,formacion-docente,Taxonomía de Bloom y diseño inverso de aprendizajes,2026-04-06,949,13,1,2,true,0,,true,1,2,0,1,0,0,1,0,conservar,svg-diagrama|fallback-verificar,taxonomia-bloom|diseno-inverso|backward-design|objetivos-aprendizaje|niveles-cognitivos,metodologia-pedagogica,pedagogia|evaluacion
formacion-docente/transformacion-pedagogica-digital/index.md,/formacion-docente/transformacion-pedagogica-digital/,page,formacion-docente,La transformación pedagógica y digital en la UdeG,2026-04-06,1008,9,0,6,true,7,,true,1,2,0,0,0,0,0,0,conservar,svg-diagrama|tabla-sintesis|interaccion-candidata,transformacion-pedagogica|educacion-superior|aprendizaje-hibrido|UdeG|pandemia,marco-institucional,pedagogia|digital|formacion
ia-educacion/_index.md,/ia-educacion/,section,ia-educacion,IA en educación,,63,0,0,0,false,5,,true,1,0,0,0,0,0,0,0,actualizar,,,,ia
ia-educacion/constelaciones/cocreacion-evaluacion/index.md,/ia-educacion/constelaciones/empezar-con-ia/,page,ia-educacion,Empezar con IA para aprender y enseñar,2026-07-27,997,9,0,0,false,7,,true,1,0,0,1,1,0,0,0,actualizar,interaccion-candidata,introducción a la IA|aprendizaje|docencia|alfabetización en IA,ruta-de-aprendizaje,ia|pedagogia|formacion
ia-educacion/etica-y-transparencia/_index.md,/ia-educacion/etica-y-transparencia/,section,ia-educacion,Ética y transparencia en el uso de IA,,123,2,0,0,false,0,,true,1,0,0,0,0,0,0,0,actualizar,,,,ia|etica
ia-educacion/etica-y-transparencia/alfabetizacion-critica-ia/index.md,/ia-educacion/etica-y-transparencia/alfabetizacion-critica-ia/,page,ia-educacion,Principios de la alfabetización crítica en inteligencia artificial,2026-04-06,666,2,4,7,true,3,,true,1,0,0,0,0,0,0,0,conservar,svg-diagrama,alfabetizacion-ia|pensamiento-critico|cognitive-offloading|etica-ia|literacidad,marco-conceptual,ia|pedagogia
ia-educacion/etica-y-transparencia/lineamientos-unesco-ia-educacion/index.md,/ia-educacion/etica-y-transparencia/lineamientos-unesco-ia-educacion/,page,ia-educacion,Síntesis de los lineamientos UNESCO para IA en educación,2026-04-26,864,7,3,3,true,6,,true,1,0,0,1,0,0,0,0,conservar,svg-diagrama,UNESCO|lineamientos|política internacional|marco de competencias,guia,ia|etica|formacion
ia-educacion/etica-y-transparencia/marco-etico-ia-educacion-superior/index.md,/ia-educacion/etica-y-transparencia/marco-etico-ia-educacion-superior/,page,ia-educacion,Cuatro criterios éticos para el uso de IA en educación superior,2026-04-22,2089,15,9,4,true,0,,true,1,0,0,2,1,0,0,0,conservar,interaccion-candidata,etica-ia|marco-etico|politica-educativa|docencia-universitaria|gobernanza,guia,ia|pedagogia|formacion
ia-educacion/etica-y-transparencia/marco-regulatorio-universidades-mexico/index.md,/ia-educacion/etica-y-transparencia/marco-regulatorio-universidades-mexico/,page,ia-educacion,Marco regulatorio de IA en universidades mexicanas,2026-04-26,1001,8,4,2,true,5,,true,1,0,0,0,0,0,0,0,conservar,svg-diagrama|tabla-sintesis|interaccion-candidata,ANUIES|regulación|México|política educativa|marco institucional,guia,ia|etica
ia-educacion/etica-y-transparencia/plagio-autenticidad-era-ia/index.md,/ia-educacion/etica-y-transparencia/plagio-autenticidad-era-ia/,page,ia-educacion,Plagio y autenticidad académica en la era de la IA,2026-04-22,1763,12,8,3,true,0,,true,1,0,0,0,1,0,0,0,conservar,tabla-sintesis|interaccion-candidata,plagio|integridad-academica|autenticidad|trazabilidad|autoria,guia,ia|evaluacion|pedagogia
ia-educacion/etica-y-transparencia/sesgos-algoritmicos-equidad/index.md,/ia-educacion/etica-y-transparencia/sesgos-algoritmicos-equidad/,page,ia-educacion,Sesgos algorítmicos y equidad educativa,2026-04-22,1912,15,10,5,true,0,,true,1,0,0,0,1,0,0,0,conservar,tabla-sintesis|interaccion-candidata,sesgos-ia|equidad|justicia-epistemica|auditoria|pensamiento-critico,guia,ia|pedagogia|etica
ia-educacion/etica-y-transparencia/transparencia-algoritmica-aula/index.md,/ia-educacion/etica-y-transparencia/transparencia-algoritmica-aula/,page,ia-educacion,Transparencia algorítmica en el aula: prácticas concretas,2026-04-26,874,10,3,1,true,5,,true,1,0,0,0,0,0,0,0,conservar,svg-diagrama|tabla-sintesis,transparencia|ética|explicabilidad|rendición de cuentas|prácticas docentes,guia,ia|etica|pedagogia
ia-educacion/guias/_index.md,/ia-educacion/guias/,section,ia-educacion,Guías prácticas de IA,,32,0,0,0,false,0,,true,1,0,0,0,0,0,0,0,actualizar,,,,ia
ia-educacion/guias/abp-con-ia/index.md,/ia-educacion/guias/abp-con-ia/,page,ia-educacion,Aprendizaje basado en proyectos (ABP) con IA,2026-04-20,1273,12,3,0,true,3,,true,2,0,0,1,2,0,0,0,conservar,interaccion-candidata,ABP|metodología|evaluación formativa|agenciamiento (ensamblaje)|trabajo colaborativo,guia,ia|pedagogia
ia-educacion/guias/agenciamiento-humano-ia/index.md,/ia-educacion/guias/agenciamiento-humano-ia/,page,ia-educacion,El agenciamiento (ensamblaje) persona-IA — marco conceptual para docentes,2026-04-14,1730,17,6,4,true,6,,true,3,0,2,4,0,0,2,0,conservar,fallback-verificar,agenciamiento (ensamblaje)|Deleuze|Guattari|rizoma|co-producción|marco conceptual,guia,ia|pedagogia
ia-educacion/guias/aprendizaje-activo-con-ia/index.md,/ia-educacion/guias/aprendizaje-activo-con-ia/,page,ia-educacion,Aprendizaje activo con IA — diseño y ejecución de actividades,2026-04-14,989,14,5,0,true,5,,true,1,0,0,2,1,0,0,0,conservar,interaccion-candidata,aprendizaje activo|diseño didáctico|IA generativa|actividades de aula|retroalimentación,guia,ia|pedagogia
ia-educacion/guias/aprendizaje-rizomatico-ia/index.md,/ia-educacion/guias/aprendizaje-rizomatico-ia/,page,ia-educacion,Aprendizaje rizomático con IA,2026-04-26,1028,12,2,0,true,4,,true,1,0,0,1,0,0,0,0,conservar,svg-diagrama|interaccion-candidata,aprendizaje rizomático|Cormier|Deleuze|exploración|currículo abierto,guia,pedagogia|ia|digital
ia-educacion/guias/evaluacion-formativa-ia/index.md,/ia-educacion/guias/evaluacion-formativa-ia/,page,ia-educacion,Evaluación formativa con IA — ciclos de retroalimentación iterativa,2026-04-14,1725,16,6,1,true,4,,true,3,0,2,3,1,0,2,0,conservar,fallback-verificar,evaluación formativa|retroalimentación|IA generativa|portafolios|rúbricas,guia,ia|evaluacion|pedagogia
ia-educacion/guias/ingenieria-de-prompts-para-docentes/index.md,/ia-educacion/guias/ingenieria-de-prompts-para-docentes/,page,ia-educacion,Ingeniería de prompts para docentes,2026-03-17,601,8,2,0,false,0,,true,1,0,0,0,0,0,0,0,actualizar,svg-diagrama,prompts|diseño didáctico|IA generativa|ingeniería de prompts,guia,ia|pedagogia
ia-educacion/guias/integracion-curricular-ia/index.md,/ia-educacion/guias/integracion-curricular-ia/,page,ia-educacion,Integración curricular de IA en programas existentes,2026-04-26,1270,10,5,2,true,9,,true,1,0,0,1,0,0,0,0,conservar,svg-diagrama|interaccion-candidata,integración curricular|perfil de egreso|rediseño de evaluación|syllabus|competencias,guia,ia|pedagogia|formacion
ia-educacion/guias/lineamientos-eticos-ia/index.md,/ia-educacion/guias/lineamientos-eticos-ia/,page,ia-educacion,Veinte sugerencias prácticas para el uso ético de IA en educación superior,2026-04-26,1367,28,4,1,true,8,,true,1,0,0,0,0,0,0,0,conservar,svg-diagrama|tabla-sintesis|interaccion-candidata,ética|sugerencias|criterios|integridad académica|transparencia,guia,ia|etica|pedagogia
ia-educacion/integracion-curricular/_index.md,/ia-educacion/integracion-curricular/,section,ia-educacion,Integración curricular,,238,3,0,0,false,2,,true,1,0,0,0,0,0,0,0,actualizar,,,,ia|pedagogia
